ticket_id,created_date,department,issue,issue_category,priority,status,channel,customer_type,resolution_time
342,2026-02-04 15:09:00,Operations,Item quantity incorrect in inventory platform!!!,Inventory Mismatch,High,In Progress,Email,External Customer,
343,2026-03-26 11:04:00,Finance,Vendor invoice approval is delayed,Invoice Approval,Medium,Resolved,Phone,Partner,78.12
344,2026-03-11 13:05:00,Customer Support,Customer says payment was charged twice,Refund Request,Low,Resolved,Email,Vendor,26.88
345,2026-05-04 16:09:00,Finance,Purchase order mismatch delaying invoice!!!,Invoice Approval,Critical,In Progress,Portal,External Customer,29.79
346,2026-04-28 12:45:00,Customer Support,Need refund approval for billing complaint!!!,Refund Request,Low,Resolved,Phone,Internal Employee,42.32
347,2026-03-21 20:57:00,Finance,Payment request pending manager approval,Invoice Approval,High,Resolved,Chatbot,Internal Employee,31.01
348,2026-03-31 17:20:00,IT,Cannot access internal tools outside office please help asap,VPN / Access,Medium,In Progress,Email,Internal Employee,5.44
349,2026-01-23 13:25:00,HR,Employee onboarding approval pending,Onboarding Delay,Medium,Resolved,Chatbot,Internal Employee,36.89
350,2026-04-30 18:08:00,Sales,Salesforce opportunity record not updating,Salesforce / CRM,Low,Open,Chatbot,Partner,5.86
351,2026-04-11 05:44:00,Sales,Lead assignment rule failed please help asap,Salesforce / CRM,Low,Resolved,Phone,External Customer,22.35
352,2026-04-14 22:50:00,Finance,Vendor invoice approval is delayed,Invoice Approval,Critical,Resolved,Slack,Vendor,24.63
353,2026-02-23 22:37:00,IT,Login not working for employee portal,Password / Login,Medium,Escalated,Chatbot,Vendor,2.72
354,2026-01-25 14:11:00,HR,EMPLOYEE ONBOARDING APPROVAL PENDING,Onboarding Delay,Medium,Resolved,Portal,Internal Employee,46.18
355,2026-02-08 14:34:00,Operations,MISSING STOCK AFTER SHIPMENT RECONCILIATION,Inventory Mismatch,High,Resolved,Slack,Partner,16.16
356,2026-05-30 00:39:00,,CRM account ownership is incorrect please help asap,Salesforce / CRM,High,Resolved,Phone,Internal Employee,23.73
357,2026-01-08 07:27:00,Compliance,Risk review pending for new supplier,Compliance Review,High,Resolved,Slack,Partner,91.41
358,2026-02-09 09:55:00,Operations,Inventory count does not match system records please help asap,Inventory Mismatch,Medium,Resolved,Slack,Vendor,26.76
359,2026-04-19 19:11:00,Compliance,Data retention policy exception needs approval!!!,Compliance Review,High,Resolved,Phone,Vendor,67.62
360,2026-05-28 11:02:00,Sales,LEAD ASSIGNMENT RULE FAILED,Salesforce / CRM,Medium,Resolved,Email,Internal Employee,23.56
361,2026-01-20 21:40:00,IT,CANNOT ACCESS INTERNAL TOOLS OUTSIDE OFFICE,VPN / Access,High,Resolved,Phone,Vendor,7.85
362,2026-03-17 09:10:00,HR,Employee onboarding approval pending,Onboarding Delay,High,In Progress,Chatbot,Internal Employee,26.54
363,2026-01-22 04:32:00,IT,Cannot access internal tools outside office,VPN / Access,Medium,Open,Phone,External Customer,
364,2026-03-02 15:11:00,IT,VPN access is not working from home,VPN / Access,High,In Progress,Portal,Vendor,
365,2026-02-12 06:36:00,Customer Support,Need refund approval for billing complaint please help asap,Refund Request,High,Resolved,Chatbot,External Customer,36.84
366,2026-04-10 15:16:00,HR,Background verification delay blocking start date,Onboarding Delay,High,In Progress,Slack,Partner,
367,2026-03-10 03:16:00,HR,Laptop and access not ready for new hire,Onboarding Delay,Medium,Resolved,Email,Internal Employee,71.11
368,2026-01-04 13:06:00,Operations,Item quantity incorrect in inventory platform!!!,Inventory Mismatch,Medium,Resolved,Email,Internal Employee,22.71
369,2026-02-03 12:42:00,IT,Need password reset for my company account,Password / Login,Medium,Resolved,Phone,Vendor,4.06
370,2026-03-24 08:10:00,Customer Support,Customer requesting refund for duplicate charge,Refund Request,Medium,Resolved,Portal,Vendor,38.79
371,2026-05-06 03:09:00,IT,Login not working for employee portal,Password / Login,Medium,Resolved,Email,Vendor,3.16
372,2026-01-01 01:42:00,IT,Account locked after multiple login attempts,Password / Login,Medium,Resolved,Email,External Customer,2.56
373,2026-05-04 03:36:00,IT,Account locked after multiple login attempts,Password / Login,Medium,Escalated,Slack,Partner,3.14
374,2026-02-15 17:02:00,Customer Support,Need refund approval for billing complaint,Refund Request,High,Resolved,Portal,External Customer,46.64
375,2026-01-07 23:37:00,IT,Login not working for employee portal,Password / Login,Low,Resolved,Email,Partner,1.95
376,2026-01-11 12:07:00,Operations,Inventory discrepancy requires investigation,Inventory Mismatch,Medium,Resolved,Portal,Vendor,13.93
377,2026-05-01 19:02:00,Customer Support,CUSTOMER REQUESTING REFUND FOR DUPLICATE CHARGE please help asap,Refund Request,Low,Resolved,Email,Internal Employee,16.19
378,2026-02-26 02:51:00,IT,Password expired and reset link is not working,Password / Login,Low,Resolved,Chatbot,External Customer,1.81
379,2026-01-31 08:09:00,HR,Onboarding checklist is incomplete!!!,Onboarding Delay,High,Resolved,Email,Vendor,78.54
380,2026-01-02 05:59:00,IT,Account locked after multiple login attempts,Password / Login,Medium,Resolved,Slack,External Customer,1.36
381,2026-01-10 19:11:00,Sales,Salesforce opportunity record not updating!!!,Salesforce / CRM,Low,Resolved,Email,Partner,18.34
382,2026-05-19 16:14:00,Compliance,Audit evidence missing for policy review,Compliance Review,Critical,Resolved,Portal,Internal Employee,68.56
383,2026-04-04 09:13:00,IT,UNABLE TO ACCESS THE SYSTEM DUE TO PASSWORD ISSUE,Password / Login,Medium,Resolved,Email,External Customer,2.74
384,2026-05-29 10:26:00,Customer Support,Need refund approval for billing complaint please help asap,Refund Request,Low,Resolved,Portal,Internal Employee,14.35
385,2026-05-05 01:56:00,HR,Salary information missing in HR system,Benefits / Payroll,High,Resolved,Portal,Internal Employee,38.15
386,2026-01-16 08:08:00,Customer Support,CUSTOMER SAYS PAYMENT WAS CHARGED TWICE,Refund Request,High,Resolved,Portal,External Customer,10.67
387,2026-05-14 15:55:00,IT,Unable to access the system due to password issue,Password / Login,Low,Resolved,Chatbot,External Customer,4.98
388,2026-01-02 13:02:00,Sales,CANNOT EDIT CUSTOMER ACCOUNT IN CRM,Salesforce / CRM,Medium,Resolved,Email,Internal Employee,4.8
389,2026-04-15 06:08:00,Customer Support,CUSTOMER REQUESTING REFUND FOR DUPLICATE CHARGE,Refund Request,High,Resolved,Slack,Vendor,21.05
390,2026-04-14 05:50:00,Operations,Inventory count does not match system records please help asap,Inventory Mismatch,High,Resolved,Chatbot,External Customer,32.4
391,2026-01-21 19:56:00,Operations,Item quantity incorrect in inventory platform please help asap,Inventory Mismatch,Medium,In Progress,Email,External Customer,
392,2026-03-27 07:34:00,IT,Login not working for employee portal,Password / Login,Medium,Resolved,Slack,Partner,1.45
393,2026-04-06 11:28:00,IT,I forgot my password and cannot log in,Password / Login,Medium,Resolved,Email,External Customer,2.94
394,2026-04-28 02:05:00,Compliance,COMPLIANCE APPROVAL NEEDED FOR VENDOR DOCUMENT,Compliance Review,High,Resolved,Chatbot,External Customer,61.51
395,2026-04-18 14:47:00,HR,BENEFITS ENROLLMENT ISSUE NEEDS REVIEW,Benefits / Payroll,High,Resolved,Phone,Vendor,50.68
396,2026-05-16 17:28:00,Finance,PAYMENT REQUEST PENDING MANAGER APPROVAL,Invoice Approval,Medium,Resolved,Phone,Vendor,46.4
397,2026-02-11 22:34:00,Sales,CRM ACCOUNT OWNERSHIP IS INCORRECT please help asap,Salesforce / CRM,Medium,Escalated,Chatbot,Internal Employee,9.7
398,2026-03-30 04:23:00,Customer Support,Refund not processed after cancellation,Refund Request,Medium,Escalated,Portal,Internal Employee,24.83
399,2026-05-20 16:21:00,Sales,Lead assignment rule failed,Salesforce / CRM,High,Resolved,Slack,Partner,16.94
400,2026-05-03 01:08:00,Customer Support,Customer requesting refund for duplicate charge!!!,Refund Request,High,Resolved,Chatbot,External Customer,34.48
401,2026-03-13 06:01:00,Operations,Inventory count does not match system records,Inventory Mismatch,Medium,In Progress,Phone,Vendor,10.34
402,2026-04-20 11:24:00,IT,Account locked after multiple login attempts,Password / Login,Medium,Resolved,Phone,External Customer,2.49
403,2026-04-19 23:57:00,Operations,Warehouse stock mismatch found during audit,Inventory Mismatch,High,In Progress,Slack,Partner,
404,2026-05-23 14:45:00,HR,Need correction in benefits portal,Benefits / Payroll,High,In Progress,Slack,External Customer,
405,2026-01-01 04:16:00,IT,Password expired and reset link is not working,Password / Login,Low,Resolved,Phone,Vendor,2.2
406,2026-01-18 19:47:00,Sales,Sales report missing latest pipeline data,Salesforce / CRM,High,Resolved,Email,Partner,11.24
407,2026-01-15 04:20:00,IT,ACCOUNT LOCKED AFTER MULTIPLE LOGIN ATTEMPTS,Password / Login,Medium,Resolved,Email,External Customer,2.84
408,2026-02-16 03:38:00,Operations,Item quantity incorrect in inventory platform,Inventory Mismatch,Medium,Resolved,Phone,External Customer,29.07
409,2026-05-13 09:23:00,IT,NEED PASSWORD RESET FOR MY COMPANY ACCOUNT please help asap,Password / Login,Low,Resolved,Email,Internal Employee,4.12
410,2026-01-05 15:22:00,Operations,Missing stock after shipment reconciliation,Inventory Mismatch,Medium,Resolved,Email,External Customer,16.72
411,2026-02-06 22:14:00,IT,I forgot my password and cannot log in!!!,Password / Login,Medium,Resolved,Email,Internal Employee,2.23
412,2026-05-12 18:03:00,Operations,Item quantity incorrect in inventory platform,Inventory Mismatch,Medium,In Progress,Phone,Internal Employee,
413,2026-03-13 18:22:00,,Login not working for employee portal,Password / Login,Low,In Progress,Phone,External Customer,2.41
414,2026-05-18 00:46:00,Compliance,Compliance checklist incomplete for process,Compliance Review,High,Resolved,Phone,Vendor,33.47
415,2026-05-12 07:26:00,HR,Benefits enrollment issue needs review,Benefits / Payroll,Medium,Escalated,Slack,Internal Employee,18.77
416,2026-04-27 19:47:00,HR,Background verification delay blocking start date,Onboarding Delay,High,Escalated,Phone,External Customer,46.46
417,2026-05-06 21:06:00,IT,PASSWORD EXPIRED AND RESET LINK IS NOT WORKING please help asap,Password / Login,Low,Resolved,Portal,Partner,2.59
418,2026-04-14 03:14:00,IT,Cannot access internal tools outside office,VPN / Access,High,Open,Chatbot,Partner,
419,2026-04-27 03:07:00,IT,Password expired and reset link is not working please help asap,Password / Login,Low,Resolved,Slack,Partner,2.0
420,2026-01-25 02:42:00,IT,Need password reset for my company account,Password / Login,Low,Open,Email,Vendor,4.01
421,2026-01-31 12:28:00,Compliance,DATA RETENTION POLICY EXCEPTION NEEDS APPROVAL please help asap,Compliance Review,High,Resolved,Portal,Partner,54.2
422,2026-05-05 03:36:00,Customer Support,Refund not processed after cancellation,Refund Request,Medium,Resolved,Slack,Partner,34.35
423,2026-03-14 10:03:00,Operations,Item quantity incorrect in inventory platform,Inventory Mismatch,Medium,Resolved,Phone,Vendor,8.79
424,2026-03-04 07:15:00,HR,New employee onboarding is delayed please help asap,Onboarding Delay,High,Resolved,Slack,Partner,70.66
425,2026-05-01 18:01:00,IT,Unable to access the system due to password issue please help asap,Password / Login,Medium,Resolved,Phone,External Customer,4.94
426,2026-04-04 13:12:00,Customer Support,Refund not processed after cancellation,Refund Request,High,In Progress,Email,Internal Employee,26.87
427,2026-03-11 02:36:00,Finance,Invoice stuck in approval workflow please help asap,Invoice Approval,Critical,Resolved,Portal,Vendor,67.67
428,2026-05-12 14:42:00,HR,Benefits enrollment issue needs review,Benefits / Payroll,High,Resolved,Chatbot,Vendor,57.81
429,2026-01-16 16:12:00,Sales,CRM account ownership is incorrect,Salesforce / CRM,Low,Resolved,Slack,Partner,11.29
430,2026-02-11 08:43:00,Operations,INVENTORY COUNT DOES NOT MATCH SYSTEM RECORDS please help asap,Inventory Mismatch,High,Resolved,Email,External Customer,24.83
431,2026-02-04 00:16:00,,LOGIN NOT WORKING FOR EMPLOYEE PORTAL,Password / Login,Low,Resolved,Phone,Internal Employee,4.16
432,2026-04-15 11:42:00,Compliance,Audit evidence missing for policy review,Compliance Review,Critical,Resolved,Email,External Customer,87.11
433,2026-03-22 10:53:00,Finance,Invoice stuck in apprval workflow,Invoice Approval,High,Resolved,Chatbot,Internal Employee,54.23
434,2026-04-06 22:07:00,Finance,Invoice stuck in approval workflow,Invoice Approval,High,Resolved,Chatbot,Internal Employee,37.62
435,2026-01-14 22:58:00,Compliance,Compliance checklist incomplete for process,Compliance Review,High,Resolved,Slack,Internal Employee,99.73
436,2026-04-11 08:19:00,Compliance,Audit evidence missing for policy review please help asap,Compliance Review,Critical,In Progress,Phone,Internal Employee,
437,2026-05-06 15:47:00,Operations,Inventory count does not match system records,Inventory Mismatch,High,In Progress,Email,Internal Employee,19.56
438,2026-02-17 20:28:00,Customer Support,Customer says payment was charged twice,Refund Request,High,Resolved,Portal,Vendor,39.22
439,2026-03-23 14:30:00,Operations,Warehouse stock mismatch found during audit,Inventory Mismatch,Medium,Resolved,Slack,External Customer,32.46
440,2026-01-06 17:41:00,IT,I forgot my password and cannot log in,Password / Login,Medium,Resolved,Portal,Internal Employee,3.45
441,2026-02-13 18:07:00,Sales,Sales report missing latest pipeline data,Salesforce / CRM,Medium,Resolved,Slack,Vendor,4.28
442,2026-02-22 19:13:00,IT,PASSWORD EXPIRED AND RESET LINK IS NOT WORKING!!!,Password / Login,Low,Resolved,Portal,Partner,4.98
443,2026-04-28 02:00:00,Finance,Finance approval needed for overdue invoice,Invoice Approval,Medium,In Progress,Email,Partner,47.07
444,2026-05-01 11:38:00,Sales,Cannot edit customer account in CRM,Salesforce / CRM,Medium,Escalated,Portal,Internal Employee,22.79
445,2026-03-08 05:32:00,Finance,FINANCE APPROVAL NEEDED FOR OVERDUE INVOICE,Invoice Approval,Medium,Resolved,Slack,Partner,48.56
446,2026-04-21 09:57:00,Customer Support,Need refund approval for billing complaint,Refund Request,Low,Resolved,Slack,Internal Employee,42.83
447,2026-01-14 07:11:00,IT,Need VPN permission for client project!!!,VPN / Access,High,Resolved,Email,External Customer,3.32
448,2026-01-24 06:55:00,,Account locked after multiple login attempts,Password / Login,Low,In Progress,Email,External Customer,2.14
449,2026-01-25 10:01:00,Operations,Inventory count does not match system records,Inventory Mismatch,Medium,Escalated,Slack,Vendor,15.96
450,2026-03-10 19:42:00,Customer Support,Refund not processed after cancellation,Refund Request,High,Escalated,Email,Partner,6.24
451,2026-01-15 23:04:00,HR,New employee onboarding is delayed please help asap,Onboarding Delay,Medium,Resolved,Slack,Partner,63.4
452,2026-02-09 03:19:00,Customer Support,Need refund approval for billing complaint!!!,Refund Request,Low,Resolved,Slack,Vendor,26.62
453,2026-04-19 02:48:00,IT,Unable to connect to secure network,VPN / Access,Medium,Resolved,Portal,Vendor,6.8
454,2026-05-15 02:18:00,Finance,Finance approval needed for overdue invoice,Invoice Approval,High,Resolved,Email,Internal Employee,47.03
455,2026-05-12 03:32:00,,Cannot edit customer account in CRM,Salesforce / CRM,High,Resolved,Portal,External Customer,12.5
456,2026-01-12 02:26:00,Compliance,Compliance checklist incomplete for process,Compliance Review,High,Resolved,Email,Partner,108.17
457,2026-01-28 13:34:00,Compliance,COMPLIANCE APPROVAL NEEDED FOR VENDOR DOCUMENT,Compliance Review,Critical,Resolved,Chatbot,Partner,25.72
458,2026-04-12 09:05:00,Customer Support,Customer requesting refund for duplicate charge!!!,Refund Request,Low,Resolved,Slack,External Customer,11.25
459,2026-04-29 04:30:00,IT,Need password reset for my company account!!!,Password / Login,Low,Resolved,Chatbot,Vendor,2.69
460,2026-01-03 03:40:00,IT,Unable to access the system due to password issue,Password / Login,Medium,Resolved,Chatbot,Vendor,4.39
461,2026-01-16 16:01:00,IT,VPN access is not working from home,VPN / Access,High,Resolved,Slack,Internal Employee,6.8
462,2026-02-19 15:22:00,IT,Login not working for employee portal,Password / Login,Low,Resolved,Slack,Vendor,2.75
463,2026-04-03 15:51:00,Operations,Warehouse stock mismatch found during audit,Inventory Mismatch,High,Resolved,Slack,Vendor,35.19
464,2026-02-23 17:03:00,HR,Onboarding checklist is incomplete please help asap,Onboarding Delay,Medium,Resolved,Email,External Customer,95.95
465,2026-02-27 15:16:00,IT,Login not working for employee portal please help asap,Password / Login,Low,Open,Slack,Vendor,4.97
466,2026-01-29 03:50:00,Sales,CANNOT EDIT CUSTOMER ACCOUNT IN CRM please help asap,Salesforce / CRM,Low,Open,Slack,Vendor,16.21
467,2026-01-26 04:41:00,Customer Support,Refund request pending for customer order,Refund Request,Medium,Open,Portal,Internal Employee,
468,2026-04-17 11:40:00,IT,Cannot access internal tools outside office,VPN / Access,High,Resolved,Chatbot,Partner,8.98
469,2026-04-24 04:49:00,Sales,Salesforce opportunity record not updating,Salesforce / CRM,Low,Open,Portal,Internal Employee,4.2
470,2026-05-14 09:26:00,Sales,Cannot edit customer account in CRM,Salesforce / CRM,High,Resolved,Portal,Vendor,12.04
471,2026-02-22 17:39:00,HR,Employee cannot select health insurance option,Benefits / Payroll,Medium,Resolved,Slack,External Customer,59.3
472,2026-05-19 09:13:00,Finance,Purchase order mismatch delaying invoice,Invoice Approval,High,Resolved,Phone,Vendor,23.75
473,2026-01-29 23:03:00,Sales,Cannot edit customer account in CRM please help asap,Salesforce / CRM,,Resolved,Phone,External Customer,20.83
474,2026-05-29 18:45:00,Operations,Inventory discrepancy requires investigation,Inventory Mismatch,Medium,Resolved,Chatbot,External Customer,33.04
475,2026-05-13 18:12:00,IT,I FORGOT MY PASSWORD AND CANNOT LOG IN!!!,Password / Login,Low,Resolved,Slack,Internal Employee,4.29
476,2026-05-15 12:37:00,HR,Employee onboarding approval pending,Onboarding Delay,High,Open,Portal,External Customer,64.25
477,2026-04-28 04:45:00,Finance,Invoice stuck in approval workflow please help asap,Invoice Approval,Medium,Resolved,Slack,Internal Employee,49.82
478,2026-05-27 09:02:00,IT,Account locked after multiple login attempts,Password / Login,Medium,Resolved,Phone,Partner,3.09
479,2026-05-06 00:07:00,IT,VPN access is not working from home,VPN / Access,High,Resolved,Chatbot,External Customer,7.93
480,2026-05-10 20:29:00,Operations,Warehouse stock mismatch found during audit,Inventory Mismatch,Medium,Resolved,Phone,Internal Employee,29.33
481,2026-04-24 23:17:00,Sales,Cannot edit customer account in CRM,Salesforce / CRM,Low,In Progress,Chatbot,Internal Employee,16.92
482,2026-05-14 06:48:00,Sales,CANNOT EDIT CUSTOMER ACCOUNT IN CRM please help asap,Salesforce / CRM,High,In Progress,Chatbot,Partner,
483,2026-01-12 15:55:00,HR,Payroll deduction looks incorrect,Benefits / Payroll,Medium,Resolved,Phone,External Customer,68.03
484,2026-01-23 04:19:00,IT,VPN access is not working from home!!!,VPN / Access,High,Resolved,Phone,Partner,11.57
485,2026-01-31 01:12:00,HR,Laptop and access not ready for new hire,Onboarding Delay,High,Resolved,Email,Vendor,41.25
486,2026-03-01 00:17:00,IT,I forgot my password and cannot log in,Password / Login,Low,Resolved,Chatbot,External Customer,3.22
487,2026-02-06 11:34:00,Operations,Missing stock after shipment reconciliation,Inventory Mismatch,High,Open,Portal,Internal Employee,
488,2026-05-04 08:38:00,IT,Account locked after multiple login attempts,Password / Login,Low,Resolved,Slack,Internal Employee,2.0
489,2026-05-23 08:56:00,Operations,Item quantity incorrect in inventory platform,Inventory Mismatch,High,Resolved,Phone,Partner,20.09
490,2026-03-26 00:58:00,IT,VPN access is not working from home please help asap,VPN / Access,High,Resolved,Chatbot,Internal Employee,9.23
491,2026-01-20 17:01:00,Operations,Inventory count does not match system records,Inventory Mismatch,Medium,Open,Phone,External Customer,
492,2026-02-26 23:01:00,HR,EMPLOYEE CANNOT SELECT HEALTH INSURANCE OPTION,Benefits / Payroll,High,Resolved,Email,Partner,57.51
493,2026-02-23 00:12:00,Finance,Vendor invoice approval is delayed,Invoice Approval,Critical,Resolved,Chatbot,External Customer,79.02
494,2026-02-02 23:04:00,IT,Login not working for employee portal!!!,Password / Login,Medium,In Progress,Slack,Internal Employee,1.51
495,2026-01-14 10:27:00,Sales,Salesforce opportunity record not updating,Salesforce / CRM,Low,Resolved,Slack,Vendor,20.89
496,2026-04-11 06:21:00,HR,New employee onboarding is delayed,Onboarding Delay,Medium,Resolved,Phone,Internal Employee,29.89
497,2026-01-25 00:30:00,Customer Support,Need refund approval for billing complaint,Refund Request,Medium,Resolved,Portal,Internal Employee,24.14
498,2026-04-23 03:40:00,Operations,Inventory count does not match system records,Inventory Mismatch,Medium,Resolved,Slack,Internal Employee,20.5
499,2026-04-21 02:06:00,HR,Onboarding checklist is incomplete,Onboarding Delay,Medium,Resolved,Slack,Vendor,72.78
500,2026-01-26 10:41:00,Compliance,Risk review pending for new supplier please help asap,Compliance Review,High,Open,Portal,Partner,
182,2026-02-02 23:49:00,IT,I forgot my password and cannot log in,Password / Login,Low,Open,Chatbot,Partner,
216,2026-04-29 16:25:00,IT,VPN access is not working from home,VPN / Access,High,Resolved,Phone,Internal Employee,8.72
247,2026-03-22 17:03:00,HR,Employee onboarding approval pending,Onboarding Delay,High,Resolved,Chatbot,External Customer,24.93
372,2026-01-01 01:42:00,IT,Account locked after multiple login attempts,Password / Login,Medium,Resolved,Email,External Customer,2.56
318,2026-04-16 13:23:00,IT,Login not working for employee portal,Password / Login,Medium,Resolved,Slack,Internal Employee,2.39
228,2026-01-06 18:32:00,IT,VPN access is not working from home,VPN / Access,Medium,Resolved,Email,Internal Employee,4.52
96,2026-05-28 07:45:00,Customer Support,Refund not processed after cancellation,Refund Request,Medium,Resolved,Chatbot,Internal Employee,12.03
125,2026-03-27 09:29:00,Sales,Sales report missing latest pipeline data please help asap,Salesforce / CRM,Medium,Resolved,Slack,Partner,23.78
71,2026-04-02 07:37:00,IT,I FORGOT MY PASSWORD AND CANNOT LOG IN!!!,Password / Login,Medium,Resolved,Email,Vendor,2.3
409,2026-05-13 09:23:00,IT,NEED PASSWORD RESET FOR MY COMPANY ACCOUNT please help asap,Password / Login,Low,Resolved,Email,Internal Employee,4.12
